FICHA TECNICA (PREENCHA SOMENTE AS CÉLULAS EM BRANCO),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Foto do produto (opcional),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Nome da Receita:,,Argila,,,,,,,,,,,,,,,,,,
Tamanho da Receita,,900,,g,Custo da Receita,,"R$ 22,82",,,,,,,,,,,,,
Quantidade por porção,,100,,g,Custo da Porção,,"R$ 2,54",,,,,,,,,,,,,
Rendimento da receita,,9,,Porções,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Validade:,6,,,,,,,,,,,,TOTAL,"R$ 22,82",,,,,,
codigo ,Ingrediente,,,,Unidade,,Quantidade Líquida (utilizada na receita),Valor Unitário,,Rendimento,,Quantidade Bruta,Valor Líquido,Valor Total,,DESCRIÇÃO,,%,VALOR RECEITA,VALOR POR PORÇÃO
1,Glicerina Branca V&G 1 Kg,,,,g,,850,"R$ 0,0193",,100%,,"850,00","R$ 0,02","R$ 16,44",,Despesas Fixas,,, R$  - , R$  - 
15,Essência Cosmética 100ml,,,,ml,,20,"R$ 0,2900",,100%,,"20,00","R$ 0,29","R$ 5,80",,Lucro,,0,, R$  - 
4,Lauril V&G 1L,,,,ml,,10,"R$ 0,0180",,100%,,"10,00","R$ 0,02","R$ 0,18",,Desp Var.,,, R$  - , R$  - 
31,Argila Verde,,,,g,,20,"R$ 0,0199",,100%,,"20,00","R$ 0,02","R$ 0,40",,Produto,,100," R$  22,82 "," R$  2,54 "
,-,,,,-,,,-,,-,,-,-,-,,VALOR FINAL,,," R$  22,82 "," R$  2,54 "
,-,,,,-,,,-,,-,,-,-,-,,,,,," R$  10,14 "
,-,,,,-,,,-,,-,,-,-,-,,,,,Simulador,
,-,,,,-,,,-,,-,,-,-,-,,,,,Preço Praticado:,"R$ 9,50"
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,M.C. - R$,M.C. - %
,-,,,,-,,,-,,-,,-,-,-,,,,,"R$ 6,96","73,3%"
,-,,,,-,,,-,,-,,-,-,-,,,,,Lucro - R$,Lucro - %
,-,,,,-,,,-,,-,,-,-,-,,,,,"R$ 6,96","73,3%"
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
