FICHA TECNICA (PREENCHA SOMENTE AS CÉLULAS EM BRANCO),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Foto do produto (opcional),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Nome da Receita:,,Barra 150g B,,,,,,,,,,,,,,,,,,
Tamanho da Receita,,"1,6",,Kg,Custo da Receita,,"R$ 57,00",,,,,,,,,,,,,
Quantidade por porção,,"0,16",,Kg,Custo da Porção,,"R$ 5,70",,,,,,,,,,,,,
Rendimento da receita,,10,,Porções,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Validade:,6,,,,,,,,,,,,TOTAL,"R$ 57,00",,,,,,
codigo ,Ingrediente,,,,Unidade,,Quantidade Líquida (utilizada na receita),Valor Unitário,,Rendimento,,Quantidade Bruta,Valor Líquido,Valor Total,,DESCRIÇÃO,,%,VALOR RECEITA,VALOR POR PORÇÃO
1,Glicerina Branca V&G 1 Kg,,,,g,,1600,"R$ 0,0193",,100%,,"1600,00","R$ 0,02","R$ 30,94",,Despesas Fixas,,, R$  - , R$  - 
260,Essência Frutas Vermelhas,,,,ml,,75,"R$ 0,2900",,100%,,"75,00","R$ 0,29","R$ 21,75",,Lucro,,,, R$  - 
4,Lauril V&G 1L,,,,ml,,75,"R$ 0,0180",,100%,,"75,00","R$ 0,02","R$ 1,35",,Desp Var.,,, R$  - , R$  - 
20,Extrato Glicólico Aveia 100ml,,,,ml,,40,"R$ 0,0740",,100%,,"40,00","R$ 0,07","R$ 2,96",,Produto,,100," R$  57,00 "," R$  5,70 "
,-,,,,-,,,-,,-,,-,-,-,,VALOR FINAL,,," R$  57,00 "," R$  5,70 "
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,Simulador,
,-,,,,-,,,-,,-,,-,-,-,,,,,Preço Praticado:,"R$ 14,00"
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,M.C. - R$,M.C. - %
,-,,,,-,,,-,,-,,-,-,-,,,,,"R$ 8,30","59,3%"
,-,,,,-,,,-,,-,,-,-,-,,,,,Lucro - R$,Lucro - %
,-,,,,-,,,-,,-,,-,-,-,,,,,"R$ 8,30","59,3%"
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
