FICHA TECNICA (PREENCHA SOMENTE AS CÉLULAS EM BRANCO),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Foto do produto (opcional),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Nome da Receita:,,Produto,,,,,,,,,,,,,,,,,,
Tamanho da Receita,,1500,,g,Custo da Receita,,"R$ 59,27",,,,,,,,,,,,,
Quantidade por porção,,250,,g,Custo da Porção,,"R$ 9,88",,,,,,,,,,,,,
Rendimento da receita,,6,,Porções,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Validade:,6,,,,,,,,,,,,TOTAL,"R$ 59,27",,,,,,
codigo ,Ingrediente,,,,Unidade,,Quantidade Líquida (utilizada na receita),Valor Unitário,,Rendimento,,Quantidade Bruta,Valor Líquido,Valor Total,,DESCRIÇÃO,,%,VALOR RECEITA,VALOR POR PORÇÃO
223,Sal Refinado,,,,g,,1000,"R$ 0,0030",,100%,,"1000,00","R$ 0,00","R$ 3,00",,Despesas Fixas,,, R$  - , R$  - 
224,Açucar Refinado,,,,g,,200,"R$ 0,0050",,100%,,"200,00","R$ 0,01","R$ 1,00",,Lucro,,,, R$  - 
26,Óleo de Semente de Uva ML,,,,ml,,150,"R$ 0,0682",,100%,,"150,00","R$ 0,07","R$ 10,24",,Desp Var.,,, R$  - , R$  - 
5,Glicerina bi-destilada V&G 500ml,,,,ml,,70,"R$ 0,0200",,100%,,"70,00","R$ 0,02","R$ 1,40",,Produto,,100," R$  59,27 "," R$  9,88 "
262,Essência Melancia,,,,ml,,50,"R$ 0,2900",,100%,,"50,00","R$ 0,29","R$ 14,50",,VALOR FINAL,,," R$  59,27 "," R$  9,88 "
252,Pote Esfoliante 250g TP Lacre ML,,,,un,,5,"R$ 5,5600",,100%,,"5,00","R$ 5,56","R$ 27,80",,,,,," R$  39,51 "
301,Adesivo Glossy,,,,un,,"1,5","R$ 0,8900",,100%,,"1,50","R$ 0,89","R$ 1,34",,,,,Simulador,
,-,,,,-,,,-,,-,,-,-,-,,,,,Preço Praticado:,"R$ 22,00"
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,M.C. - R$,M.C. - %
,-,,,,-,,,-,,-,,-,-,-,,,,,"R$ 12,12","55,1%"
,-,,,,-,,,-,,-,,-,-,-,,,,,Lucro - R$,Lucro - %
,-,,,,-,,,-,,-,,-,-,-,,,,,"R$ 12,12","55,1%"
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
,-,,,,-,,,-,,-,,-,-,-,,,,,,
