Produto,Ingrediente,Quantidade Líquida (utilizada na receita),Valor Unitário,Rendimento,Quantidade Bruta,Valor Líquido,Valor Total
Amarradinho,Glicerina Branca V&G 1 Kg,520,"R$ 0,0193",100%,520,"R$ 0,02","R$ 10,06"
Amarradinho,Essência Cosmética 100ml,25,"R$ 0,2900",100%,25,"R$ 0,29","R$ 7,25"
Amarradinho,Lauril V&G 1L,15,"R$ 0,0180",100%,15,"R$ 0,02","R$ 0,27"
Amarradinho,Outros,3,"R$ 0,1000",100%,3,"R$ 0,10","R$ 0,30"
Barra 150g A,Glicerina Branca V&G 1 Kg,1600,"R$ 0,0193",100%,1600,"R$ 0,02","R$ 30,94"
Barra 150g A,Essência Cosmética 100ml,75,"R$ 0,2900",100%,75,"R$ 0,29","R$ 21,75"
Barra 150g A,Lauril V&G 1L,50,"R$ 0,0180",100%,50,"R$ 0,02","R$ 0,90"
Barra 150g A,Outros,2,"R$ 0,1000",100%,2,"R$ 0,10","R$ 0,20"
Barra 150g B,Glicerina Branca V&G 1 Kg,1600,"R$ 0,0193",100%,1600,"R$ 0,02","R$ 30,94"
Barra 150g B,Essência Cosmética 100ml,75,"R$ 0,2900",100%,75,"R$ 0,29","R$ 21,75"
Barra 150g B,Lauril V&G 1L,75,"R$ 0,0180",100%,75,"R$ 0,02","R$ 1,35"
Barra 150g B,Extrato Glicólico Aveia 100ml,40,"R$ 0,0740",100%,40,"R$ 0,07","R$ 2,96"
Barra 150g B,Outros,2,"R$ 0,1000",100%,2,"R$ 0,10","R$ 0,20"
Barra 150g C,Glicerina Branca V&G 1 Kg,1600,"R$ 0,0193",100%,1600,"R$ 0,02","R$ 30,94"
Barra 150g C,Essência Cosmética 100ml,75,"R$ 0,2900",100%,75,"R$ 0,29","R$ 21,75"
Barra 150g C,Lauril V&G 1L,120,"R$ 0,0180",100%,120,"R$ 0,02","R$ 2,16"
Barra 150g C,Extrato Glicólico Aveia 100ml,40,"R$ 0,0740",100%,40,"R$ 0,07","R$ 2,96"
Barra 150g C,Manteiga de Karité,20,"R$ 0,1399",100%,20,"R$ 0,14","R$ 2,80"
Barra 150g C,Outros,2,"R$ 0,1000",100%,2,"R$ 0,10","R$ 0,20"
Bucha 300g,Glicerina Transparente V&G 1Kg,1000,"R$ 0,0193",100%,1000,"R$ 0,02","R$ 19,34"
Bucha 300g,Essência Cosmética 100ml,50,"R$ 0,2900",100%,50,"R$ 0,29","R$ 14,50"
Bucha 300g,Lauril V&G 1L,30,"R$ 0,0180",100%,30,"R$ 0,02","R$ 0,54"
Bucha 300g,Bucha Vegetal,3,"R$ 1,4900",100%,3,"R$ 1,49","R$ 4,47"
Bucha 300g,Outros,2,"R$ 0,1000",100%,2,"R$ 0,10","R$ 0,20"
Esfoliante 250g,Sal Refinado,1000,"R$ 0,0030",100%,1000,"R$ 0,00","R$ 3,00"
Esfoliante 250g,Açucar Refinado,200,"R$ 0,0050",100%,200,"R$ 0,01","R$ 1,00"
